master_ccl_id	ccl_name	ccl_availability	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1
1	697	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia
3	5637	ccle;public	urinary_tract	carcinoma	
4	2313287	ccle;public	stomach	carcinoma	adenocarcinoma
5	1321N1	ccle	central_nervous_system	glioma	astrocytoma
6	143B	ccle	bone	osteosarcoma	
7	22RV1	ccle;public	prostate	carcinoma	
8	253J	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
9	253JBV	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
10	42MGBA	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
13	59M	ccle	ovary	carcinoma	
14	639V	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
15	647V	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
16	769P	ccle;public	kidney	carcinoma	clear_cell_renal_cell_carcinoma
19	786O	ccle;public	kidney	carcinoma	clear_cell_renal_cell_carcinoma
20	8305C	ccle;public	thyroid	carcinoma	anaplastic_carcinoma
21	8505C	ccle;public	thyroid	carcinoma	anaplastic_carcinoma
22	8MGBA	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
23	A101D	ccle;public	skin	malignant_melanoma	
24	A1207	ccle	central_nervous_system	glioma	
25	A172	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
26	A204	ccle;public	soft_tissue	rhabdoid_tumor	
27	A2058	ccle;public	skin	malignant_melanoma	
28	A253	ccle;public	salivary_gland	carcinoma	mucoepidermoid_carcinoma
29	A2780	ccle;public	ovary	carcinoma	adenocarcinoma
30	A375	ccle;public	skin	malignant_melanoma	
31	A3KAW	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma
33	A498	ccle;public	kidney	carcinoma	renal_cell_carcinoma
34	A4FUK	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma
35	A549	ccle;public	lung	carcinoma	non_small_cell_carcinoma
37	A673	ccle;public	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor	
39	A704	ccle	kidney	carcinoma	renal_cell_carcinoma
40	ABC1	ccle	lung	carcinoma	non_small_cell_carcinoma
41	ACCMESO1	ccle;public	pleura	mesothelioma	
42	ACCS	ccle	urinary_tract	carcinoma	transitional_cell_carcinoma
43	ACHN	ccle;public	kidney	carcinoma	renal_cell_carcinoma
44	AGS	ccle;public	stomach	carcinoma	adenocarcinoma
46	ALLSIL	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia
47	AM38	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
48	AML193	ccle;public	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
49	AMO1	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma
50	AN3CA	ccle;public	endometrium	carcinoma	adenocarcinoma
52	ASPC1	ccle;public	pancreas	carcinoma	ductal_carcinoma
53	AU565	ccle;public	breast	carcinoma	
54	AZ521	ccle	stomach	carcinoma	
55	BC3C	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
56	BCP1	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma
57	BCPAP	ccle;public	thyroid	carcinoma	papillary_carcinoma
58	BDCM	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia
59	BECKER	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
60	BEN	ccle;public	lung	carcinoma	
61	BFTC905	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
62	BFTC909	ccle;public	kidney	carcinoma	
64	BHT101	ccle;public	thyroid	carcinoma	anaplastic_carcinoma
65	BHY	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
66	BICR16	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
67	BICR18	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
68	BICR22	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
69	BICR31	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
70	BICR56	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
71	BICR6	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
73	BJHTERT	ccle	skin		immortalized_fibroblast
74	BL41	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
75	BL70	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
77	BT112	collaborator			
78	BT131	collaborator			
79	BT139	collaborator			
80	BT145	collaborator			
81	BT147	collaborator			
82	BT159	collaborator			
83	BT164	collaborator			
84	BT172	collaborator			
85	BT179	collaborator			
88	BT187	collaborator			
90	BT20	ccle;public	breast	carcinoma	ductal_carcinoma
91	BT216	collaborator			
92	BT224	collaborator			
93	BT228	collaborator			
94	BT231	collaborator			
95	BT239	collaborator			
96	BT248	collaborator			
97	BT474	ccle;public	breast	carcinoma	ductal_carcinoma
98	BT483	ccle	breast	carcinoma	ductal_carcinoma
99	BT549	ccle;public	breast	carcinoma	ductal_carcinoma
100	BV173	ccle;public	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia
101	BXPC3	ccle;public	pancreas	carcinoma	ductal_carcinoma
102	C2BBE1	ccle;public	large_intestine	carcinoma	adenocarcinoma
103	C32	ccle;public	skin	malignant_melanoma	
104	C3A	ccle	liver	carcinoma	hepatocellular_carcinoma
106	CA46	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
108	CADOES1	ccle;public	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor	
109	CAKI1	ccle;public	kidney	carcinoma	clear_cell_renal_cell_carcinoma
110	CAKI2	ccle;public	kidney	carcinoma	clear_cell_renal_cell_carcinoma
111	CAL120	ccle;public	breast	carcinoma	
112	CAL12T	ccle;public	lung	carcinoma	non_small_cell_carcinoma
113	CAL148	ccle;public	breast	carcinoma	ductal_carcinoma
114	CAL27	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
115	CAL29	ccle;public	urinary_tract	carcinoma	transitional_cell_carcinoma
116	CAL33	ccle;public	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
117	CAL51	ccle;public	breast	carcinoma	
118	CAL54	ccle;public	kidney	carcinoma	renal_cell_carcinoma
119	CAL62	ccle;public	thyroid	carcinoma	anaplastic_carcinoma
120	CAL78	ccle;public	bone	chondrosarcoma	dedifferentiated
121	CAL851	ccle;public	breast	carcinoma	
122	CALU1	ccle;public	lung	carcinoma	squamous_cell_carcinoma
123	CALU3	ccle;public	lung	carcinoma	adenocarcinoma
124	CALU6	ccle;public	lung	carcinoma	undifferentiated_carcinoma
125	CAMA1	ccle;public	breast	carcinoma	
126	CAOV3	ccle;public	ovary	carcinoma	adenocarcinoma
127	CAOV4	ccle	ovary	carcinoma	adenocarcinoma
128	CAPAN1	ccle;public	pancreas	carcinoma	ductal_carcinoma
129	CAPAN2	ccle;public	pancreas	carcinoma	ductal_carcinoma
130	CAS1	ccle;public	central_nervous_system	glioma	astrocytoma_Grade_IV
131	CCFSTTG1	ccle;public	central_nervous_system	glioma	astrocytoma
132	CCK81	ccle;public	large_intestine	carcinoma	adenocarcinoma
138	CFPAC1	ccle;public	pancreas	carcinoma	ductal_carcinoma
139	CGTHW1	ccle;public	thyroid	carcinoma	follicular_carcinoma
140	CH157MN	ccle	central_nervous_system	meningioma	
141	CHAGOK1	ccle;public	lung	carcinoma	
142	CHL1	ccle	skin	malignant_melanoma	
143	CHP126	ccle;public	autonomic_ganglia	neuroblastoma	
144	CHP212	ccle;public	autonomic_ganglia	neuroblastoma	
145	CI1	ccle;public	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma
146	CJM	ccle;public	skin	malignant_melanoma	
147	CL11	ccle;public	large_intestine	carcinoma	adenocarcinoma
148	CL14	ccle	large_intestine	carcinoma	
149	CL34	ccle;public	large_intestine	carcinoma	adenocarcinoma
150	CL40	ccle	large_intestine	carcinoma	
151	CMK	ccle;public	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
152	CMK115	ccle	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
153	CMK86	ccle	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
154	CMLT1	ccle;public	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia
155	COLO201	ccle;public	large_intestine	carcinoma	adenocarcinoma
156	COLO205	ccle;public	large_intestine	carcinoma	adenocarcinoma
157	COLO320	ccle;public	large_intestine	carcinoma	adenocarcinoma
158	COLO668	ccle;public	lung	carcinoma	small_cell_carcinoma
159	COLO677	ccle	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma
160	COLO678	ccle;public	large_intestine	carcinoma	adenocarcinoma
161	COLO679	ccle;public	skin	malignant_melanoma	
162	COLO680N	ccle;public	oesophagus	carcinoma	squamous_cell_carcinoma
163	COLO684	ccle;public	endometrium	carcinoma	adenocarcinoma
164	COLO699	public			
165	COLO704	ccle	ovary	carcinoma	
166	COLO741	ccle;public	skin	malignant_melanoma	
167	COLO775	ccle	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia
168	COLO783	ccle;public	skin	malignant_melanoma	
169	COLO792	ccle;public	skin	malignant_melanoma	
170	COLO800	ccle;public	skin	malignant_melanoma	
171	COLO818	ccle	skin	malignant_melanoma	
172	COLO829	ccle;public	skin	malignant_melanoma	
173	COLO849	ccle	skin	malignant_melanoma	
174	CORL105	ccle;public	lung	carcinoma	adenocarcinoma
175	CORL23	ccle	lung	carcinoma	large_cell_carcinoma
176	CORL24	ccle	lung	carcinoma	small_cell_carcinoma
178	CORL279	ccle;public	lung	carcinoma	small_cell_carcinoma
179	CORL311	ccle	lung	carcinoma	small_cell_carcinoma
