Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[tissue supergroup]	Characteristics[metatastic tissue]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Unit [age unit]	Characteristics[sex]	Characteristics[ethnicity]	Characteristics[media]	Characteristics[freeze media]	Comment[ENA_ALIAS]	Protocol REF	Extract Name	Comment[NOMINAL_LENGTH]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_SDEV]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
Sample 1	ERS395207	cell	Homo sapiens	NCBI Taxonomy	9606	A2780	ovary	not applicable	ovary	ovarian carcinoma	not available	  	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete Growth Media, 90%; DMSO, 10%	586986	P-MTAB-39822	ERS395207 extract	284	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379670	sequencing assay	ERX379670	ERR413365_1	ERR413365	A2780	ovary	ovarian carcinoma
Sample 1	ERS395207	cell	Homo sapiens	NCBI Taxonomy	9606	A2780	ovary	not applicable	ovary	ovarian carcinoma	not available	  	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete Growth Media, 90%; DMSO, 10%	586986	P-MTAB-39822	ERS395207 extract	284	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379670	sequencing assay	ERX379670	ERR413365_2	ERR413365	A2780	ovary	ovarian carcinoma
Sample 2	ERS395272	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 679	zone of skin	not applicable	zone of skin	melanoma	47	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586988	P-MTAB-39822	ERS395272 extract	273	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379735	sequencing assay	ERX379735	ERR413430_1	ERR413430	COLO 679	zone of skin	melanoma
Sample 2	ERS395272	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 679	zone of skin	not applicable	zone of skin	melanoma	47	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586988	P-MTAB-39822	ERS395272 extract	273	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379735	sequencing assay	ERX379735	ERR413430_2	ERR413430	COLO 679	zone of skin	melanoma
Sample 3	ERS395278	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 800	zone of skin	not applicable	zone of skin	melanoma	14	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586990	P-MTAB-39822	ERS395278 extract	252	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379741	sequencing assay	ERX379741	ERR413436_1	ERR413436	COLO 800	zone of skin	melanoma
Sample 3	ERS395278	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 800	zone of skin	not applicable	zone of skin	melanoma	14	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586990	P-MTAB-39822	ERS395278 extract	252	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379741	sequencing assay	ERX379741	ERR413436_2	ERR413436	COLO 800	zone of skin	melanoma
Sample 4	ERS395280	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 849	zone of skin	lymph node	zone of skin	metastatic melanoma	43	year	male	Caucasian	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	586992	P-MTAB-39822	ERS395280 extract	305	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379743	sequencing assay	ERX379743	ERR413438_1	ERR413438	COLO 849	zone of skin	metastatic melanoma
Sample 4	ERS395280	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 849	zone of skin	lymph node	zone of skin	metastatic melanoma	43	year	male	Caucasian	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	586992	P-MTAB-39822	ERS395280 extract	305	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379743	sequencing assay	ERX379743	ERR413438_2	ERR413438	COLO 849	zone of skin	metastatic melanoma
Sample 5	ERS395442	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 852.T	zone of skin	not applicable	zone of skin	melanoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586994	P-MTAB-39822	ERS395442 extract	300	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379904	sequencing assay	ERX379904	ERR413599_1	ERR413599	Hs 852.T	zone of skin	melanoma
Sample 5	ERS395442	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 852.T	zone of skin	not applicable	zone of skin	melanoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586994	P-MTAB-39822	ERS395442 extract	300	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379904	sequencing assay	ERX379904	ERR413599_2	ERR413599	Hs 852.T	zone of skin	melanoma
Sample 6	ERS395462	cell	Homo sapiens	NCBI Taxonomy	9606	IPC-298	zone of skin	not applicable	zone of skin	melanoma	64	year	female	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586995	P-MTAB-39822	ERS395462 extract	184	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379924	sequencing assay	ERX379924	ERR413619_1	ERR413619	IPC-298	zone of skin	melanoma
Sample 6	ERS395462	cell	Homo sapiens	NCBI Taxonomy	9606	IPC-298	zone of skin	not applicable	zone of skin	melanoma	64	year	female	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586995	P-MTAB-39822	ERS395462 extract	184	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379924	sequencing assay	ERX379924	ERR413619_2	ERR413619	IPC-298	zone of skin	melanoma
Sample 7	ERS395551	cell	Homo sapiens	NCBI Taxonomy	9606	MEL-HO	zone of skin	not applicable	zone of skin	melanoma	not available	  	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586996	P-MTAB-39822	ERS395551 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380013	sequencing assay	ERX380013	ERR413708_1	ERR413708	MEL-HO	zone of skin	melanoma
Sample 7	ERS395551	cell	Homo sapiens	NCBI Taxonomy	9606	MEL-HO	zone of skin	not applicable	zone of skin	melanoma	not available	  	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586996	P-MTAB-39822	ERS395551 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380013	sequencing assay	ERX380013	ERR413708_2	ERR413708	MEL-HO	zone of skin	melanoma
